unix_time,timestamp,cpu_percent,ram_used_gb,ram_total_gb,ram_percent,gpu_util_percent,vram_used_mb,vram_total_mb
1790218442.2359233,2026-09-24 02:54:02,0.0,10.85,61.61,17.6,8.0,13758.0,24576.0
1790218443.2590237,2026-09-24 02:54:03,8.0,10.9,61.61,17.7,89.0,13758.0,24576.0
1790218444.277456,2026-09-24 02:54:04,7.4,10.92,61.61,17.7,64.0,13758.0,24576.0
1790218445.294472,2026-09-24 02:54:05,6.5,10.97,61.61,17.8,90.0,13758.0,24576.0
1790218446.3117428,2026-09-24 02:54:06,8.2,10.97,61.61,17.8,89.0,13758.0,24576.0
1790218447.330895,2026-09-24 02:54:07,14.6,10.99,61.61,17.8,89.0,13758.0,24576.0
1790218448.3488734,2026-09-24 02:54:08,8.2,11.0,61.61,17.9,89.0,13758.0,24576.0
1790218449.3676422,2026-09-24 02:54:09,7.1,10.99,61.61,17.8,89.0,13758.0,24576.0
1790218450.3855941,2026-09-24 02:54:10,6.0,10.96,61.61,17.8,91.0,13758.0,24576.0
1790218451.404614,2026-09-24 02:54:11,6.6,11.02,61.61,17.9,91.0,13758.0,24576.0
1790218452.425101,2026-09-24 02:54:12,8.0,11.01,61.61,17.9,89.0,13758.0,24576.0
1790218453.4434583,2026-09-24 02:54:13,20.1,11.16,61.61,18.1,90.0,13758.0,24576.0
1790218454.464718,2026-09-24 02:54:14,8.4,11.17,61.61,18.1,67.0,13758.0,24576.0
1790218455.4847386,2026-09-24 02:54:15,7.0,11.16,61.61,18.1,80.0,13758.0,24576.0
1790218456.502619,2026-09-24 02:54:16,6.3,11.18,61.61,18.1,72.0,13758.0,24576.0
1790218457.5211906,2026-09-24 02:54:17,8.1,11.16,61.61,18.1,91.0,13758.0,24576.0
1790218458.5393753,2026-09-24 02:54:18,6.7,11.14,61.61,18.1,89.0,13758.0,24576.0
1790218459.556648,2026-09-24 02:54:19,6.9,11.11,61.61,18.0,90.0,13758.0,24576.0
1790218460.5735767,2026-09-24 02:54:20,6.3,11.11,61.61,18.0,89.0,13758.0,24576.0
1790218461.5923955,2026-09-24 02:54:21,6.2,11.09,61.61,18.0,89.0,13758.0,24576.0
1790218462.6112142,2026-09-24 02:54:22,6.6,11.08,61.61,18.0,91.0,13758.0,24576.0
1790218463.6306186,2026-09-24 02:54:23,7.2,11.08,61.61,18.0,89.0,13758.0,24576.0
1790218464.6500041,2026-09-24 02:54:24,6.4,11.07,61.61,18.0,79.0,13758.0,24576.0
1790218465.6694028,2026-09-24 02:54:25,6.8,11.09,61.61,18.0,91.0,13758.0,24576.0
1790218466.6898503,2026-09-24 02:54:26,30.1,11.31,61.61,18.4,90.0,13758.0,24576.0
1790218467.711182,2026-09-24 02:54:27,6.3,11.31,61.61,18.4,89.0,13758.0,24576.0
1790218468.7311969,2026-09-24 02:54:28,6.8,11.32,61.61,18.4,91.0,13758.0,24576.0
1790218469.7483797,2026-09-24 02:54:29,7.4,11.3,61.61,18.3,69.0,13758.0,24576.0
1790218470.7686698,2026-09-24 02:54:30,7.4,11.31,61.61,18.4,90.0,13758.0,24576.0
1790218471.78914,2026-09-24 02:54:31,6.2,11.29,61.61,18.3,91.0,13758.0,24576.0
1790218472.810677,2026-09-24 02:54:32,6.3,11.24,61.61,18.3,90.0,13758.0,24576.0
1790218473.8301382,2026-09-24 02:54:33,6.8,11.26,61.61,18.3,89.0,13758.0,24576.0
1790218474.8495953,2026-09-24 02:54:34,7.2,11.24,61.61,18.2,89.0,13758.0,24576.0
1790218475.8696947,2026-09-24 02:54:35,6.2,11.22,61.61,18.2,90.0,13758.0,24576.0
1790218476.8892562,2026-09-24 02:54:36,6.8,11.18,61.61,18.1,91.0,13758.0,24576.0
1790218477.9060445,2026-09-24 02:54:37,6.2,11.17,61.61,18.1,91.0,13758.0,24576.0
1790218478.924401,2026-09-24 02:54:38,6.1,11.19,61.61,18.2,91.0,13758.0,24576.0
1790218479.9432592,2026-09-24 02:54:39,7.5,11.18,61.61,18.1,89.0,13758.0,24576.0
1790218480.9626682,2026-09-24 02:54:40,6.5,11.16,61.61,18.1,90.0,13758.0,24576.0
1790218481.9840267,2026-09-24 02:54:41,5.9,11.14,61.61,18.1,91.0,13758.0,24576.0
1790218483.0039845,2026-09-24 02:54:43,7.0,11.15,61.61,18.1,90.0,13758.0,24576.0
1790218484.0249677,2026-09-24 02:54:44,6.3,11.15,61.61,18.1,90.0,13758.0,24576.0
1790218485.0433748,2026-09-24 02:54:45,6.3,11.16,61.61,18.1,90.0,13758.0,24576.0
1790218486.0637932,2026-09-24 02:54:46,9.5,11.13,61.61,18.1,90.0,13758.0,24576.0
1790218487.0846298,2026-09-24 02:54:47,6.2,11.17,61.61,18.1,90.0,13758.0,24576.0
1790218488.1021564,2026-09-24 02:54:48,6.0,11.16,61.61,18.1,89.0,13758.0,24576.0
1790218489.1207714,2026-09-24 02:54:49,7.1,11.15,61.61,18.1,90.0,13758.0,24576.0
1790218490.1384394,2026-09-24 02:54:50,5.8,11.14,61.61,18.1,89.0,13758.0,24576.0
1790218491.1564817,2026-09-24 02:54:51,6.6,11.16,61.61,18.1,91.0,13758.0,24576.0
