unix_time,timestamp,cpu_percent,ram_used_gb,ram_total_gb,ram_percent,gpu_util_percent,vram_used_mb,vram_total_mb
1790297776.1024227,2026-09-25 00:56:16,0.0,13.76,61.61,22.3,4.0,13760.0,24576.0
1790297777.119537,2026-09-25 00:56:17,6.6,13.82,61.61,22.4,90.0,13760.0,24576.0
1790297778.141038,2026-09-25 00:56:18,9.0,13.83,61.61,22.4,55.0,13760.0,24576.0
1790297779.1616683,2026-09-25 00:56:19,7.5,13.87,61.61,22.5,89.0,13760.0,24576.0
1790297780.1829963,2026-09-25 00:56:20,12.5,13.96,61.61,22.7,90.0,13760.0,24576.0
1790297781.20276,2026-09-25 00:56:21,6.1,13.91,61.61,22.6,90.0,13760.0,24576.0
1790297782.2218325,2026-09-25 00:56:22,6.2,13.92,61.61,22.6,89.0,13760.0,24576.0
1790297783.2394626,2026-09-25 00:56:23,6.2,13.95,61.61,22.6,92.0,13760.0,24576.0
1790297784.256445,2026-09-25 00:56:24,7.1,13.96,61.61,22.7,87.0,13760.0,24576.0
1790297785.2740836,2026-09-25 00:56:25,7.9,13.95,61.61,22.6,67.0,13760.0,24576.0
1790297786.2951708,2026-09-25 00:56:26,14.9,14.04,61.61,22.8,0.0,13760.0,24576.0
1790297787.3149667,2026-09-25 00:56:27,8.4,14.05,61.61,22.8,90.0,13760.0,24576.0
1790297788.3329978,2026-09-25 00:56:28,6.4,14.03,61.61,22.8,91.0,13760.0,24576.0
1790297789.3509667,2026-09-25 00:56:29,7.3,14.04,61.61,22.8,90.0,13760.0,24576.0
1790297790.3701913,2026-09-25 00:56:30,7.5,14.08,61.61,22.9,90.0,13760.0,24576.0
1790297791.389556,2026-09-25 00:56:31,7.2,14.09,61.61,22.9,89.0,13760.0,24576.0
1790297792.410835,2026-09-25 00:56:32,6.3,14.06,61.61,22.8,89.0,13760.0,24576.0
1790297793.4278595,2026-09-25 00:56:33,7.0,14.04,61.61,22.8,90.0,13760.0,24576.0
1790297794.4478478,2026-09-25 00:56:34,6.6,14.11,61.61,22.9,89.0,13760.0,24576.0
1790297795.4693294,2026-09-25 00:56:35,6.3,14.09,61.61,22.9,67.0,13760.0,24576.0
1790297796.4890273,2026-09-25 00:56:36,7.3,14.07,61.61,22.8,91.0,13760.0,24576.0
1790297797.5093632,2026-09-25 00:56:37,7.2,14.08,61.61,22.9,89.0,13760.0,24576.0
1790297798.528369,2026-09-25 00:56:38,6.2,14.08,61.61,22.9,88.0,13760.0,24576.0
1790297799.5461545,2026-09-25 00:56:39,8.1,14.03,61.61,22.8,90.0,13760.0,24576.0
1790297800.5643406,2026-09-25 00:56:40,28.7,14.25,61.61,23.1,90.0,13760.0,24576.0
1790297801.5829732,2026-09-25 00:56:41,8.2,14.24,61.61,23.1,90.0,13760.0,24576.0
1790297802.6033266,2026-09-25 00:56:42,6.8,14.23,61.61,23.1,89.0,13760.0,24576.0
1790297803.6207895,2026-09-25 00:56:43,6.2,14.2,61.61,23.1,89.0,13760.0,24576.0
1790297804.640904,2026-09-25 00:56:44,6.1,14.21,61.61,23.1,69.0,13760.0,24576.0
1790297805.6617131,2026-09-25 00:56:45,7.1,14.21,61.61,23.1,89.0,13760.0,24576.0
1790297806.6824515,2026-09-25 00:56:46,6.3,14.18,61.61,23.0,92.0,13760.0,24576.0
1790297807.6997457,2026-09-25 00:56:47,8.6,14.16,61.61,23.0,91.0,13760.0,24576.0
1790297808.720626,2026-09-25 00:56:48,6.4,14.15,61.61,23.0,90.0,13760.0,24576.0
1790297809.738675,2026-09-25 00:56:49,6.9,14.17,61.61,23.0,89.0,13760.0,24576.0
1790297810.7595575,2026-09-25 00:56:50,6.6,14.19,61.61,23.0,89.0,13760.0,24576.0
1790297811.7785,2026-09-25 00:56:51,6.1,14.18,61.61,23.0,69.0,13760.0,24576.0
1790297812.7958696,2026-09-25 00:56:52,6.7,14.17,61.61,23.0,91.0,13760.0,24576.0
1790297813.813934,2026-09-25 00:56:53,6.7,14.14,61.61,23.0,91.0,13760.0,24576.0
1790297814.8330271,2026-09-25 00:56:54,8.1,14.12,61.61,22.9,91.0,13760.0,24576.0
1790297815.8545487,2026-09-25 00:56:55,8.6,14.15,61.61,23.0,91.0,13760.0,24576.0
1790297816.8737009,2026-09-25 00:56:56,6.2,14.17,61.61,23.0,90.0,13760.0,24576.0
1790297817.8925507,2026-09-25 00:56:57,9.1,14.18,61.61,23.0,88.0,13760.0,24576.0
1790297818.914373,2026-09-25 00:56:58,7.3,14.15,61.61,23.0,90.0,13760.0,24576.0
1790297819.9340403,2026-09-25 00:56:59,8.0,14.14,61.61,22.9,90.0,13760.0,24576.0
1790297820.9528563,2026-09-25 00:57:00,6.8,14.14,61.61,22.9,91.0,13760.0,24576.0
1790297821.9727688,2026-09-25 00:57:01,7.6,14.15,61.61,23.0,89.0,13760.0,24576.0
1790297822.9907365,2026-09-25 00:57:02,8.4,14.12,61.61,22.9,87.0,13760.0,24576.0
1790297824.0107675,2026-09-25 00:57:04,6.7,14.11,61.61,22.9,89.0,13760.0,24576.0
1790297825.0305827,2026-09-25 00:57:05,8.2,14.16,61.61,23.0,91.0,13760.0,24576.0
